Name  	% Frequency  	Approx Number  	Rank
MANUEL	0.181	264,072 	110
MARC	0.087	126,930 	201
MARCEL	0.012	17,508 	613
MARCELINO	0.009	13,131 	728
MARCELLUS	0.004	5,836 	1170
MARCELO	0.005	7,295 	946
MARCO	0.033	48,146 	363
MARCOS	0.025	36,474 	417
MARCUS	0.124	180,911 	146
MARGARITO	0.006	8,754 	890
MARIA	0.005	7,295 	940
MARIANO	0.008	11,672 	746
MARIO	0.125	182,370 	143
MARION	0.048	70,030 	290
MARK	0.938	1,368,506 	14
MARKUS	0.005	7,295 	1029
MARLIN	0.012	17,508 	609
MARLON	0.019	27,720 	497
MARQUIS	0.006	8,754 	856
MARSHALL	0.049	71,489 	285
MARTIN	0.216	315,136 	85
MARTY	0.024	35,015 	421
MARVIN	0.171	249,482 	115
MARY	0.009	13,131 	699
MASON	0.012	17,508 	632
MATHEW	0.064	93,374 	241
MATT	0.038	55,441 	329
MATTHEW	0.657	958,538 	25
MAURICE	0.097	141,519 	184
MAURICIO	0.01	14,590 	665
MAURO	0.005	7,295 	955
MAX	0.059	86,079 	255
MAXIMO	0.005	7,295 	1048
MAXWELL	0.01	14,590 	695
MAYNARD	0.01	14,590 	672
MCKINLEY	0.005	7,295 	1047
MEL	0.005	7,295 	945
MELVIN	0.162	236,352 	124
MERLE	0.021	30,638 	468
MERLIN	0.009	13,131 	725
MERRILL	0.009	13,131 	726
MERVIN	0.007	10,213 	819
MICAH	0.017	24,802 	520
MICHAEL	2.629	3,835,609 	4
MICHAL	0.004	5,836 	1209
MICHALE	0.004	5,836 	1145
MICHEAL	0.123	179,452 	147
MICHEL	0.012	17,508 	627
MICKEY	0.016	23,343 	541
MIGUEL	0.122	177,993 	150
MIKE	0.189	275,744 	105
MIKEL	0.005	7,295 	1006
MILAN	0.004	5,836 	1106
MILES	0.017	24,802 	519
MILFORD	0.006	8,754 	907
MILLARD	0.011	16,049 	644
MILO	0.005	7,295 	960
MILTON	0.08	116,717 	210
MINH	0.005	7,295 	1014
MIQUEL	0.004	5,836 	1062
MITCH	0.006	8,754 	852
MITCHEL	0.007	10,213 	818
MITCHELL	0.072	105,045 	222
MODESTO	0.004	5,836 	1137
MOHAMED	0.005	7,295 	974
MOHAMMAD	0.008	11,672 	745
MOHAMMED	0.007	10,213 	839
MOISES	0.013	18,966 	607
MONROE	0.008	11,672 	766
MONTE	0.015	21,884 	558
MONTY	0.012	17,508 	628
MORGAN	0.018	26,261 	508
MORRIS	0.051	74,407 	278
MORTON	0.007	10,213 	815
MOSE	0.004	5,836 	1125
MOSES	0.02	29,179 	472
MOSHE	0.005	7,295 	1005
MURRAY	0.015	21,884 	564
MYLES	0.007	10,213 	813
MYRON	0.03	43,769 	386
NAPOLEON	0.006	8,754 	903
NATHAN	0.185	269,908 	108
NATHANAEL	0.004	5,836 	1121
NATHANIAL	0.004	5,836 	1087
NATHANIEL	0.081	118,176 	206
NEAL	0.037	53,982 	337
NED	0.012	17,508 	624
NEIL	0.066	96,291 	234
NELSON	0.061	88,997 	251
NESTOR	0.009	13,131 	706
NEVILLE	0.004	5,836 	1081
NEWTON	0.005	7,295 	966
NICHOLAS	0.275	401,214 	64
NICK	0.043	62,735 	308
NICKOLAS	0.01	14,590 	671
NICKY	0.004	5,836 	1151
NICOLAS	0.024	35,015 	427
NIGEL	0.006	8,754 	886
NOAH	0.022	32,097 	458
NOBLE	0.005	7,295 	1004
NOE	0.011	16,049 	658
NOEL	0.03	43,769 	383
NOLAN	0.013	18,966 	597
NORBERT	0.013	18,966 	594
NORBERTO	0.006	8,754 	902
NORMAN	0.177	258,236 	113
NORMAND	0.006	8,754 	897
NORRIS	0.011	16,049 	643
NUMBERS	0.008	11,672 	753
OCTAVIO	0.008	11,672 	786
ODELL	0.01	14,590 	694
ODIS	0.005	7,295 	939
OLEN	0.005	7,295 	958
OLIN	0.006	8,754 	922
OLIVER	0.04	58,358 	319
OLLIE	0.01	14,590 	670
OMAR	0.036	52,523 	340
OMER	0.005	7,295 	1035
OREN	0.005	7,295 	1003
ORLANDO	0.037	53,982 	332
ORVAL	0.005	7,295 	954
ORVILLE	0.024	35,015 	430
OSCAR	0.122	177,993 	151
OSVALDO	0.006	8,754 	894
OSWALDO	0.004	5,836 	1117
OTHA	0.004	5,836 	1061
OTIS	0.041	59,817 	316
OTTO	0.018	26,261 	504
OWEN	0.026	37,933 	410
PABLO	0.036	52,523 	338
PALMER	0.004	5,836 	1113
PARIS	0.004	5,836 	1060
PARKER	0.006	8,754 	878
PASQUALE	0.008	11,672 	744
PAT	0.022	32,097 	457
PATRICIA	0.004	5,836 	1192
PATRICK	0.389	567,536 	42
PAUL	0.948	1,383,095 	13
PEDRO	0.103	150,273 	177
PERCY	0.021	30,638 	465
PERRY	0.049	71,489 	287
PETE	0.032	46,687 	365
PETER	0.381	555,864 	43
PHIL	0.021	30,638 	460
PHILIP	0.197	287,415 	95
PHILLIP	0.213	310,759 	87
PIERRE	0.016	23,343 	531
PORFIRIO	0.005	7,295 	938
PORTER	0.004	5,836 	1200
PRESTON	0.034	49,605 	360
PRINCE	0.005	7,295 	937
QUENTIN	0.015	21,884 	562
QUINCY	0.01	14,590 	675
QUINN	0.005	7,295 	994
QUINTIN	0.005	7,295 	1009
QUINTON	0.013	18,966 	600
RAFAEL	0.081	118,176 	207
RALEIGH	0.005	7,295 	1051
RALPH	0.282	411,427 	62
RAMIRO	0.022	32,097 	455
RAMON	0.09	131,307 	196
RANDAL	0.02	29,179 	477
RANDALL	0.138	201,337 	139
RANDELL	0.007	10,213 	825
RANDOLPH	0.032	46,687 	366
RANDY	0.232	338,479 	78
RAPHAEL	0.012	17,508 	616
RASHAD	0.004	5,836 	1054
RAUL	0.079	115,258 	211
RAY	0.153	223,221 	132
RAYFORD	0.004	5,836 	1094
RAYMON	0.004	5,836 	1093
RAYMOND	0.488	711,973 	36
RAYMUNDO	0.008	11,672 	776
REED	0.01	14,590 	661
REFUGIO	0.006	8,754 	892
REGGIE	0.012	17,508 	631
REGINALD	0.084	122,553 	202
REID	0.007	10,213 	812
REINALDO	0.006	8,754 	872
RENALDO	0.004	5,836 	1169
RENATO	0.004	5,836 	1071
RENE	0.048	70,030 	295
REUBEN	0.015	21,884 	549
REX	0.037	53,982 	333
REY	0.004	5,836 	1168
REYES	0.005	7,295 	977
REYNALDO	0.018	26,261 	506
RHETT	0.004	5,836 	1112
RICARDO	0.093	135,683 	191
RICH	0.007	10,213 	821
RICHARD	1.703	2,484,611 	7
RICHIE	0.005	7,295 	970
RICK	0.091	132,765 	193
RICKEY	0.035	51,064 	349
RICKIE	0.011	16,049 	657
RICKY	0.141	205,714 	137
RICO	0.006	8,754 	916
RIGOBERTO	0.011	16,049 	653
RILEY	0.01	14,590 	669
ROB	0.013	18,966 	603
ROBBIE	0.016	23,343 	537
ROBBY	0.008	11,672 	780
ROBERT	3.143	4,585,515 	3
ROBERTO	0.097	141,519 	186
ROBIN	0.032	46,687 	375
ROBT	0.005	7,295 	982
ROCCO	0.011	16,049 	645
ROCKY	0.016	23,343 	530
ROD	0.013	18,966 	599
RODERICK	0.036	52,523 	345
RODGER	0.017	24,802 	525
RODNEY	0.18	262,613 	111
RODOLFO	0.03	43,769 	385
RODRICK	0.006	8,754 	871
RODRIGO	0.011	16,049 	648
ROGELIO	0.022	32,097 	448
ROGER	0.322	469,786 	50
ROLAND	0.072	105,045 	223
ROLANDO	0.021	30,638 	463
ROLF	0.004	5,836 	1167
ROLLAND	0.005	7,295 	986
ROMAN	0.02	29,179 	475
ROMEO	0.01	14,590 	688
RON	0.072	105,045 	221
RONALD	0.725	1,057,747 	21
RONNIE	0.113	164,863 	158
RONNY	0.007	10,213 	798
ROOSEVELT	0.028	40,851 	398
RORY	0.012	17,508 	629
ROSARIO	0.005	7,295 	953
ROSCOE	0.013	18,966 	589
ROSENDO	0.006	8,754 	906
ROSS	0.05	72,948 	282
ROY	0.273	398,296 	65
ROYAL	0.006	8,754 	851
ROYCE	0.016	23,343 	539
RUBEN	0.082	119,635 	203
RUBIN	0.006	8,754 	850
RUDOLF	0.004	5,836 	1166
RUDOLPH	0.034	49,605 	356
RUDY	0.034	49,605 	359
RUEBEN	0.004	5,836 	1182
RUFUS	0.025	36,474 	411
RUPERT	0.005	7,295 	985
RUSS	0.007	10,213 	811
RUSSEL	0.015	21,884 	554
RUSSELL	0.224	326,807 	82
RUSTY	0.012	17,508 	626
RYAN	0.328	478,539 	49
SAL	0.005	7,295 	952
SALVADOR	0.049	71,489 	286
SALVATORE	0.029	42,310 	389
SAM	0.092	134,224 	192
SAMMIE	0.012	17,508 	625
SAMMY	0.025	36,474 	413
SAMUAL	0.004	5,836 	1059
SAMUEL	0.306	446,442 	60
SANDY	0.007	10,213 	840
SANFORD	0.009	13,131 	702
SANG	0.006	8,754 	908
SANTIAGO	0.022	32,097 	450
SANTO	0.004	5,836 	1165
SANTOS	0.019	27,720 	494
SAUL	0.02	29,179 	474
SCOT	0.01	14,590 	673
SCOTT	0.546	796,593 	32
SCOTTIE	0.007	10,213 	837
SCOTTY	0.013	18,966 	593
SEAN	0.197	287,415 	94
SEBASTIAN	0.01	14,590 	677
SERGIO	0.049	71,489 	289
SETH	0.048	70,030 	292
SEYMOUR	0.007	10,213 	836
SHAD	0.004	5,836 	1164
SHANE	0.093	135,683 	190
SHANNON	0.04	58,358 	317
SHAUN	0.039	56,899 	327
SHAWN	0.2	291,792 	92
SHAYNE	0.004	5,836 	1086
SHELBY	0.011	16,049 	656
SHELDON	0.023	33,556 	442
SHELTON	0.008	11,672 	773
SHERMAN	0.028	40,851 	393
SHERWOOD	0.004	5,836 	1092
SHIRLEY	0.005	7,295 	936
SHON	0.004	5,836 	1208
SID	0.004	5,836 	1199
SIDNEY	0.052	75,866 	274
SILAS	0.009	13,131 	719
SIMON	0.026	37,933 	404
SOL	0.005	7,295 	1050
SOLOMON	0.013	18,966 	592
SON	0.012	17,508 	608
SONNY	0.008	11,672 	772
SPENCER	0.03	43,769 	384
STACEY	0.011	16,049 	650
STACY	0.017	24,802 	517
STAN	0.015	21,884 	550
STANFORD	0.005	7,295 	1002
STANLEY	0.186	271,367 	106
STANTON	0.004	5,836 	1102
STEFAN	0.009	13,131 	708
STEPHAN	0.018	26,261 	513
STEPHEN	0.54	787,839 	34
STERLING	0.016	23,343 	540
STEVE	0.246	358,904 	74
STEVEN	0.78	1,137,990 	18
STEVIE	0.007	10,213 	799
STEWART	0.022	32,097 	445
STUART	0.044	64,194 	302
SUNG	0.005	7,295 	984
SYDNEY	0.007	10,213 	848
SYLVESTER	0.028	40,851 	396
TAD	0.005	7,295 	935
TANNER	0.006	8,754 	931
TAYLOR	0.024	35,015 	422
TED	0.064	93,374 	240
TEDDY	0.018	26,261 	505
TEODORO	0.005	7,295 	1046
TERENCE	0.022	32,097 	449
TERRANCE	0.048	70,030 	294
TERRELL	0.02	29,179 	471
TERRENCE	0.047	68,571 	297
TERRY	0.311	453,737 	57
THAD	0.007	10,213 	846
THADDEUS	0.012	17,508 	611
THANH	0.005	7,295 	963
THEO	0.005	7,295 	1023
THEODORE	0.123	179,452 	148
THERON	0.008	11,672 	775
THOMAS	1.38	2,013,366 	10
THURMAN	0.012	17,508 	623
TIM	0.104	151,732 	170
TIMMY	0.019	27,720 	479
TIMOTHY	0.64	933,735 	27
TITUS	0.004	5,836 	1097
TOBIAS	0.005	7,295 	1013
TOBY	0.019	27,720 	483
TOD	0.005	7,295 	944
TODD	0.213	310,759 	88
TOM	0.117	170,698 	154
TOMAS	0.023	33,556 	441
TOMMIE	0.02	29,179 	478
TOMMY	0.112	163,404 	161
TONEY	0.004	5,836 	1120
TONY	0.19	277,203 	103
TORY	0.005	7,295 	969
TRACEY	0.007	10,213 	835
TRACY	0.048	70,030 	291
TRAVIS	0.166	242,188 	119
TRENT	0.018	26,261 	510
TRENTON	0.009	13,131 	733
TREVOR	0.04	58,358 	318
TREY	0.006	8,754 	901
TRINIDAD	0.005	7,295 	934
TRISTAN	0.008	11,672 	778
TROY	0.138	201,337 	138
TRUMAN	0.009	13,131 	716
TUAN	0.004	5,836 	1150
TY	0.011	16,049 	655
TYLER	0.089	129,848 	198
TYREE	0.005	7,295 	998
TYRELL	0.005	7,295 	1019
TYRON	0.005	7,295 	1034
TYRONE	0.064	93,374 	242
TYSON	0.014	20,425 	569
ULYSSES	0.01	14,590 	679
VAL	0.004	5,836 	1091
VALENTIN	0.007	10,213 	841
VALENTINE	0.005	7,295 	1041
VAN	0.019	27,720 	484
VANCE	0.014	20,425 	576
VAUGHN	0.011	16,049 	636
VERN	0.01	14,590 	659
VERNON	0.097	141,519 	185
VICENTE	0.017	24,802 	515
VICTOR	0.222	323,889 	84
VINCE	0.01	14,590 	674
VINCENT	0.168	245,105 	116
VINCENZO	0.004	5,836 	1207
VIRGIL	0.049	71,489 	283
VIRGILIO	0.004	5,836 	1119
VITO	0.009	13,131 	738
VON	0.004	5,836 	1162
WADE	0.045	65,653 	300
WALDO	0.005	7,295 	991
WALKER	0.005	7,295 	997
WALLACE	0.056	81,702 	264
WALLY	0.004	5,836 	1191
WALTER	0.399	582,126 	41
WALTON	0.004	5,836 	1111
WARD	0.01	14,590 	687
WARNER	0.004	5,836 	1136
WARREN	0.11	160,486 	164
WAYLON	0.004	5,836 	1161
WAYNE	0.249	363,281 	72
WELDON	0.009	13,131 	713
WENDELL	0.042	61,276 	310
WERNER	0.005	7,295 	1022
WES	0.004	5,836 	1147
WESLEY	0.104	151,732 	171
WESTON	0.006	8,754 	875
WHITNEY	0.005	7,295 	1045
WILBER	0.004	5,836 	1070
WILBERT	0.027	39,392 	402
WILBUR	0.036	52,523 	341
WILBURN	0.007	10,213 	810
WILEY	0.011	16,049 	652
WILFORD	0.008	11,672 	771
WILFRED	0.023	33,556 	436
WILFREDO	0.014	20,425 	573
WILL	0.018	26,261 	503
WILLARD	0.05	72,948 	280
WILLIAM	2.451	3,575,914 	5
WILLIAMS	0.013	18,966 	596
WILLIAN	0.004	5,836 	1206
WILLIE	0.302	440,606 	61
WILLIS	0.035	51,064 	348
WILLY	0.005	7,295 	1001
WILMER	0.008	11,672 	758
WILSON	0.028	40,851 	394
WILTON	0.006	8,754 	915
WINFORD	0.004	5,836 	1190
WINFRED	0.009	13,131 	737
WINSTON	0.019	27,720 	481
WM	0.033	48,146 	364
WOODROW	0.025	36,474 	412
WYATT	0.006	8,754 	855
XAVIER	0.013	18,966 	587
YONG	0.006	8,754 	921
YOUNG	0.007	10,213 	807
ZACHARIAH	0.005	7,295 	957
ZACHARY	0.099	144,437 	181
ZACHERY	0.008	11,672 	761
ZACK	0.004	5,836 	1135
ZACKARY	0.004	5,836 	1149
ZANE	0.007	10,213 	820
