Name  	% Frequency  	Approx Number  	Rank
ASHELY	0.003	4,554 	1828
ASHLEA	0.001	1,518 	4090
ASHLEE	0.013	19,735 	776
ASHLEIGH	0.008	12,145 	1046
ASHLEY	0.303	459,981 	63
ASHLI	0.002	3,036 	2264
ASHLIE	0.003	4,554 	1752
ASHLY	0.003	4,554 	1766
ASHLYN	0.002	3,036 	2843
ASHTON	0.004	6,072 	1681
ASIA	0.005	7,590 	1404
ASLEY	0.001	1,518 	4089
ASSUNTA	0.002	3,036 	2964
ASTRID	0.004	6,072 	1482
ASUNCION	0.002	3,036 	2494
ATHENA	0.007	10,627 	1135
AUBREY	0.007	10,627 	1065
AUDIE	0.002	3,036 	2657
AUDRA	0.015	22,771 	706
AUDREA	0.002	3,036 	2549
AUDREY	0.127	192,798 	173
AUDRIA	0.001	1,518 	4270
AUDRIE	0.001	1,518 	4269
AUDRY	0.003	4,554 	1713
AUGUSTA	0.01	15,181 	900
AUGUSTINA	0.002	3,036 	2548
AUGUSTINE	0.003	4,554 	1946
AUNDREA	0.002	3,036 	2921
AURA	0.005	7,590 	1309
AUREA	0.003	4,554 	1917
AURELIA	0.01	15,181 	898
AURORA	0.024	36,434 	534
AURORE	0.001	1,518 	3228
AUSTIN	0.001	1,518 	4181
AUTUMN	0.017	25,808 	660
AVA	0.014	21,253 	742
AVELINA	0.002	3,036 	2493
AVERY	0.001	1,518 	3227
AVIS	0.013	19,735 	763
AVRIL	0.001	1,518 	4180
AWILDA	0.003	4,554 	1780
AYAKO	0.001	1,518 	3584
AYANA	0.002	3,036 	2285
AYANNA	0.002	3,036 	2350
AYESHA	0.003	4,554 	2020
AZALEE	0.001	1,518 	3827
AZUCENA	0.002	3,036 	2920
AZZIE	0.001	1,518 	3665
BABARA	0.002	3,036 	2376
BABETTE	0.002	3,036 	2349
BAILEY	0.003	4,554 	1836
BAMBI	0.004	6,072 	1554
BAO	0.001	1,518 	3748
BARABARA	0.001	1,518 	4179
BARB	0.006	9,109 	1188
BARBAR	0.002	3,036 	2963
BARBARA	0.98	1,487,729 	4
BARBERA	0.002	3,036 	2889
BARBIE	0.003	4,554 	2041
BARBRA	0.015	22,771 	716
BARI	0.001	1,518 	4268
BARRIE	0.001	1,518 	3226
BASILIA	0.001	1,518 	3994
BEA	0.003	4,554 	1881
BEATA	0.001	1,518 	3402
BEATRICE	0.13	197,352 	170
BEATRIS	0.001	1,518 	3826
BEATRIZ	0.018	27,326 	645
BEAULAH	0.001	1,518 	3401
BEBE	0.001	1,518 	3993
BECKI	0.001	1,518 	3183
BECKIE	0.002	3,036 	2235
BECKY	0.066	100,194 	287
BEE	0.001	1,518 	3908
BELEN	0.005	7,590 	1374
BELIA	0.002	3,036 	2375
BELINDA	0.059	89,567 	305
BELKIS	0.001	1,518 	3664
BELL	0.001	1,518 	3143
BELLA	0.006	9,109 	1202
BELLE	0.007	10,627 	1064
