Name  	% Frequency  	Approx Number  	Rank
HERLINDA	0.005	7,590 	1315
HERMA	0.001	1,518 	3720
HERMELINDA	0.004	6,072 	1664
HERMILA	0.001	1,518 	3968
HERMINA	0.002	3,036 	2586
HERMINE	0.002	3,036 	2228
HERMINIA	0.008	12,145 	998
HERTA	0.001	1,518 	3083
HERTHA	0.001	1,518 	3386
HESTER	0.009	13,663 	938
HETTIE	0.003	4,554 	1726
HIEDI	0.001	1,518 	3505
HIEN	0.001	1,518 	3886
HILARIA	0.002	3,036 	2953
HILARY	0.014	21,253 	735
HILDA	0.075	113,857 	263
HILDE	0.002	3,036 	2989
HILDEGARD	0.005	7,590 	1337
HILDEGARDE	0.002	3,036 	2797
HILDRED	0.002	3,036 	2796
HILLARY	0.013	19,735 	788
HILMA	0.002	3,036 	2141
HIROKO	0.002	3,036 	2338
HISAKO	0.001	1,518 	3719
HOA	0.003	4,554 	1725
HOLLEY	0.002	3,036 	2319
HOLLI	0.004	6,072 	1486
HOLLIE	0.009	13,663 	962
HOLLIS	0.002	3,036 	2318
HOLLY	0.117	177,617 	186
HONEY	0.002	3,036 	2688
HONG	0.004	6,072 	1627
HOPE	0.034	51,615 	427
HORTENCIA	0.007	10,627 	1098
HORTENSE	0.004	6,072 	1557
HORTENSIA	0.003	4,554 	1860
HSIU	0.001	1,518 	3967
HUE	0.001	1,518 	3385
HUI	0.003	4,554 	1966
HULDA	0.003	4,554 	1834
HUONG	0.003	4,554 	2054
HWA	0.001	1,518 	4152
HYACINTH	0.002	3,036 	2829
HYE	0.002	3,036 	2687
HYO	0.001	1,518 	3885
HYON	0.002	3,036 	2722
HYUN	0.002	3,036 	2337
IDA	0.118	179,135 	183
IDALIA	0.003	4,554 	1805
IDELL	0.002	3,036 	2140
IDELLA	0.005	7,590 	1352
IESHA	0.002	3,036 	2255
IGNACIA	0.002	3,036 	2336
ILA	0.014	21,253 	727
ILANA	0.002	3,036 	2686
ILDA	0.002	3,036 	2795
ILEANA	0.004	6,072 	1542
ILEEN	0.001	1,518 	3432
ILENE	0.011	16,699 	832
ILIANA	0.003	4,554 	1873
ILLA	0.001	1,518 	3806
ILONA	0.003	4,554 	1804
ILSE	0.004	6,072 	1689
ILUMINADA	0.002	3,036 	2952
IMA	0.005	7,590 	1445
IMELDA	0.01	15,181 	888
IMOGENE	0.019	28,844 	623
IN	0.003	4,554 	1979
INA	0.023	34,916 	556
INDIA	0.006	9,109 	1180
INDIRA	0.002	3,036 	2514
INELL	0.002	3,036 	2685
INES	0.009	13,663 	976
INEZ	0.053	80,459 	328
INGA	0.003	4,554 	1724
INGE	0.004	6,072 	1644
INGEBORG	0.003	4,554 	1709
INGER	0.002	3,036 	2513
INGRID	0.023	34,916 	561
INOCENCIA	0.002	3,036 	3035
IOLA	0.007	10,627 	1061
IONA	0.007	10,627 	1111
IONE	0.006	9,109 	1191
IRA	0.004	6,072 	1535
IRAIDA	0.001	1,518 	3564
IRENA	0.003	4,554 	1803
IRENE	0.252	382,559 	76
IRINA	0.002	3,036 	2616
IRIS	0.055	83,495 	325
IRISH	0.002	3,036 	2951
IRMA	0.079	119,929 	255
IRMGARD	0.002	3,036 	2139
ISA	0.002	3,036 	3034
ISABEL	0.057	86,531 	313
ISABELL	0.006	9,109 	1190
ISABELLA	0.008	12,145 	997
ISABELLE	0.019	28,844 	611
ISADORA	0.001	1,518 	4060
ISAURA	0.002	3,036 	2651
ISELA	0.003	4,554 	2078
ISIDRA	0.002	3,036 	3033
ISIS	0.002	3,036 	2828
ISOBEL	0.001	1,518 	3324
IVA	0.023	34,916 	562
IVANA	0.002	3,036 	2684
IVELISSE	0.001	1,518 	3130
IVETTE	0.007	10,627 	1133
IVEY	0.001	1,518 	3269
IVONNE	0.005	7,590 	1311
IVORY	0.005	7,590 	1385
IVY	0.016	24,289 	697
IZETTA	0.001	1,518 	3504
IZOLA	0.001	1,518 	3268
JA	0.001	1,518 	3384
JACALYN	0.003	4,554 	1886
JACELYN	0.001	1,518 	3267
JACINDA	0.001	1,518 	3082
JACINTA	0.003	4,554 	1748
JACK	0.001	1,518 	3217
JACKELINE	0.003	4,554 	2053
JACKELYN	0.001	1,518 	3884
JACKI	0.002	3,036 	2317
JACKIE	0.09	136,628 	235
JACKLYN	0.009	13,663 	934
JACKQUELINE	0.001	1,518 	3718
JACLYN	0.018	27,326 	637
JACQUALINE	0.002	3,036 	2650
JACQUE	0.005	7,590 	1351
JACQUELIN	0.005	7,590 	1294
JACQUELINE	0.228	346,125 	86
JACQUELYN	0.041	62,242 	382
JACQUELYNE	0.002	3,036 	2950
JACQUELYNN	0.002	3,036 	2721
JACQUETTA	0.001	1,518 	3563
JACQUI	0.001	1,518 	3883
JACQUIE	0.001	1,518 	3129
JACQUILINE	0.002	3,036 	2988
JACQULINE	0.007	10,627 	1057
JACQULYN	0.002	3,036 	2335
JADA	0.004	6,072 	1688
JADE	0.008	12,145 	1003
JADWIGA	0.002	3,036 	2872
JAE	0.002	3,036 	2949
JAIME	0.027	40,988 	498
JAIMEE	0.001	1,518 	3717
JAIMIE	0.004	6,072 	1643
JALEESA	0.002	3,036 	2948
JALISA	0.001	1,518 	3266
JAMA	0.001	1,518 	4242
JAME	0.001	1,518 	3966
JAMEE	0.001	1,518 	3644
JAMES	0.01	15,181 	875
JAMEY	0.002	3,036 	2907
JAMI	0.014	21,253 	754
JAMIE	0.153	232,268 	146
JAMIKA	0.001	1,518 	3965
JAMILA	0.004	6,072 	1672
JAMMIE	0.003	4,554 	1859
JAN	0.051	77,423 	340
JANA	0.031	47,061 	449
JANAE	0.003	4,554 	2034
JANAY	0.002	3,036 	2987
JANE	0.25	379,523 	77
JANEAN	0.001	1,518 	3716
JANEE	0.001	1,518 	3081
JANEEN	0.004	6,072 	1485
JANEL	0.007	10,627 	1136
JANELL	0.009	13,663 	975
JANELLA	0.001	1,518 	3383
JANELLE	0.024	36,434 	548
JANENE	0.003	4,554 	2013
JANESSA	0.002	3,036 	2298
JANET	0.379	575,356 	45
JANETH	0.002	3,036 	2458
JANETT	0.002	3,036 	2392
JANETTA	0.002	3,036 	2227
JANETTE	0.022	33,398 	573
JANEY	0.003	4,554 	1978
JANI	0.001	1,518 	3964
JANICE	0.285	432,656 	66
JANIE	0.051	77,423 	336
JANIECE	0.001	1,518 	3805
JANINA	0.004	6,072 	1515
JANINE	0.02	30,362 	600
JANIS	0.034	51,615 	429
JANISE	0.001	1,518 	3128
JANITA	0.002	3,036 	2566
JANN	0.002	3,036 	2794
JANNA	0.01	15,181 	895
JANNET	0.001	1,518 	3080
JANNETTE	0.005	7,590 	1400
JANNIE	0.009	13,663 	944
JANUARY	0.001	1,518 	3265
JANYCE	0.001	1,518 	4059
JAQUELINE	0.007	10,627 	1073
JAQUELYN	0.001	1,518 	4151
JASMIN	0.008	12,145 	1032
JASMINE	0.038	57,687 	404
JASON	0.002	3,036 	2512
JAUNITA	0.003	4,554 	1898
JAY	0.003	4,554 	2126
JAYE	0.001	1,518 	3170
JAYME	0.006	9,109 	1218
JAYMIE	0.001	1,518 	3216
JAYNA	0.001	1,518 	3382
JAYNE	0.018	27,326 	636
JAZMIN	0.003	4,554 	1723
JAZMINE	0.002	3,036 	2391
JEAN	0.315	478,199 	58
JEANA	0.005	7,590 	1429
JEANE	0.004	6,072 	1642
JEANELLE	0.001	1,518 	3264
JEANENE	0.002	3,036 	2649
JEANETT	0.001	1,518 	3503
JEANETTA	0.004	6,072 	1564
JEANETTE	0.115	174,580 	191
JEANICE	0.001	1,518 	3323
JEANIE	0.013	19,735 	766
JEANINE	0.017	25,808 	648
JEANMARIE	0.001	1,518 	3169
JEANNA	0.007	10,627 	1094
JEANNE	0.109	165,472 	200
JEANNETTA	0.001	1,518 	4241
JEANNETTE	0.046	69,832 	364
JEANNIE	0.028	42,507 	479
JEANNINE	0.016	24,289 	683
JEFFIE	0.001	1,518 	4058
JEFFREY	0.001	1,518 	3643
JEN	0.002	3,036 	2986
JENA	0.007	10,627 	1089
JENAE	0.001	1,518 	3804
JENE	0.001	1,518 	3079
JENEE	0.001	1,518 	3502
JENELL	0.002	3,036 	2254
JENELLE	0.004	6,072 	1598
JENETTE	0.002	3,036 	2181
JENEVA	0.001	1,518 	4150
JENI	0.002	3,036 	2420
JENICE	0.002	3,036 	2985
JENIFER	0.023	34,916 	568
JENIFFER	0.004	6,072 	1501
JENINE	0.002	3,036 	2585
JENISE	0.002	3,036 	2366
JENNA	0.03	45,543 	453
JENNEFER	0.002	3,036 	2457
JENNELL	0.001	1,518 	3882
JENNETTE	0.004	6,072 	1671
JENNI	0.004	6,072 	1617
JENNIE	0.073	110,821 	265
JENNIFER	0.932	1,414,861 	6
JENNIFFER	0.003	4,554 	1965
JENNINE	0.001	1,518 	3562
JENNY	0.068	103,230 	282
JERALDINE	0.003	4,554 	1897
JEREMY	0.001	1,518 	4057
JERI	0.015	22,771 	702
JERICA	0.001	1,518 	3263
JERILYN	0.003	4,554 	1784
JERLENE	0.001	1,518 	3963
JERRI	0.012	18,217 	801
JERRICA	0.001	1,518 	3078
JERRIE	0.004	6,072 	1663
JERRY	0.011	16,699 	838
JESENIA	0.002	3,036 	2282
JESICA	0.005	7,590 	1394
JESSE	0.008	12,145 	1044
JESSENIA	0.002	3,036 	2565
JESSI	0.002	3,036 	2297
JESSIA	0.001	1,518 	4056
JESSICA	0.49	743,864 	26
JESSIE	0.098	148,773 	215
JESSIKA	0.001	1,518 	3262
JESTINE	0.001	1,518 	4055
JESUS	0.002	3,036 	2281
JESUSA	0.002	3,036 	2947
JESUSITA	0.001	1,518 	4054
JETTA	0.001	1,518 	3127
JETTIE	0.003	4,554 	1964
JEWEL	0.025	37,952 	522
JEWELL	0.021	31,880 	584
JI	0.001	1,518 	3381
JILL	0.142	215,569 	159
JILLIAN	0.021	31,880 	586
JIMMIE	0.017	25,808 	667
JIMMY	0.002	3,036 	2793
JIN	0.002	3,036 	2419
JINA	0.002	3,036 	2316
JINNY	0.001	1,518 	4240
JO	0.083	126,002 	250
JOAN	0.306	464,536 	62
JOANA	0.003	4,554 	2077
JOANE	0.001	1,518 	3380
JOANIE	0.004	6,072 	1574
JOANN	0.136	206,460 	164
JOANNA	0.055	83,495 	324
JOANNE	0.15	227,714 	147
JOANNIE	0.001	1,518 	3077
JOAQUINA	0.001	1,518 	3962
JOCELYN	0.019	28,844 	613
JODEE	0.002	3,036 	2365
JODI	0.051	77,423 	335
JODIE	0.017	25,808 	663
JODY	0.038	57,687 	402
JOE	0.005	7,590 	1298
JOEANN	0.002	3,036 	2683
JOEL	0.002	3,036 	2648
JOELLA	0.002	3,036 	2615
JOELLE	0.005	7,590 	1326
JOELLEN	0.004	6,072 	1589
JOETTA	0.003	4,554 	1896
JOETTE	0.001	1,518 	3803
JOEY	0.003	4,554 	1895
JOHANA	0.002	3,036 	2946
JOHANNA	0.028	42,507 	486
JOHANNE	0.001	1,518 	3642
JOHN	0.012	18,217 	819
JOHNA	0.001	1,518 	3168
JOHNETTA	0.003	4,554 	1894
JOHNETTE	0.001	1,518 	3501
JOHNIE	0.003	4,554 	1939
JOHNNA	0.005	7,590 	1308
JOHNNIE	0.039	59,206 	391
JOHNNY	0.003	4,554 	2125
JOHNSIE	0.001	1,518 	3715
JOI	0.003	4,554 	2012
JOIE	0.001	1,518 	4239
JOLANDA	0.002	3,036 	2945
JOLEEN	0.004	6,072 	1679
JOLENE	0.019	28,844 	624
JOLIE	0.002	3,036 	2296
JOLINE	0.001	1,518 	3561
JOLYN	0.001	1,518 	3126
JOLYNN	0.003	4,554 	1848
JON	0.001	1,518 	3261
JONA	0.002	3,036 	2827
JONE	0.001	1,518 	3379
JONELL	0.002	3,036 	2196
JONELLE	0.002	3,036 	2253
JONG	0.001	1,518 	4149
JONI	0.019	28,844 	615
JONIE	0.001	1,518 	3500
JONNA	0.003	4,554 	1802
JONNIE	0.004	6,072 	1478
JORDAN	0.012	18,217 	792
JOSE	0.003	4,554 	1708
JOSEFA	0.01	15,181 	899
JOSEFINA	0.028	42,507 	478
JOSEFINE	0.001	1,518 	3881
JOSELYN	0.002	3,036 	2252
JOSEPH	0.005	7,590 	1362
JOSEPHINA	0.004	6,072 	1604
JOSEPHINE	0.177	268,702 	121
JOSETTE	0.005	7,590 	1328
JOSHUA	0.001	1,518 	3641
JOSIE	0.024	36,434 	543
JOSLYN	0.002	3,036 	2511
JOSPHINE	0.001	1,518 	3125
JOVAN	0.001	1,518 	3880
JOVITA	0.005	7,590 	1355
JOY	0.091	138,146 	230
JOYA	0.001	1,518 	3802
JOYCE	0.364	552,585 	49
JOYCELYN	0.004	6,072 	1534
JOYE	0.002	3,036 	2334
JUAN	0.003	4,554 	1858
JUANA	0.046	69,832 	363
JUANITA	0.164	248,967 	135
JUDE	0.001	1,518 	3322
JUDI	0.008	12,145 	1015
JUDIE	0.003	4,554 	1977
JUDITH	0.297	450,873 	64
JUDY	0.276	418,993 	69
JULE	0.001	1,518 	3640
JULEE	0.002	3,036 	2755
JULENE	0.001	1,518 	3639
JULI	0.005	7,590 	1393
JULIA	0.223	338,534 	89
JULIAN	0.002	3,036 	2792
JULIANA	0.011	16,699 	844
JULIANE	0.002	3,036 	2984
JULIANN	0.003	4,554 	1938
JULIANNA	0.005	7,590 	1286
JULIANNE	0.012	18,217 	818
JULIE	0.348	528,296 	52
JULIEANN	0.001	1,518 	3714
JULIENNE	0.002	3,036 	2647
JULIET	0.009	13,663 	933
JULIETA	0.003	4,554 	1914
JULIETTA	0.001	1,518 	4053
JULIETTE	0.01	15,181 	896
JULIO	0.001	1,518 	4148
JULISSA	0.003	4,554 	1963
JUNE	0.125	189,761 	176
JUNG	0.006	9,109 	1246
JUNIE	0.001	1,518 	3713
JUNITA	0.002	3,036 	2826
JUNKO	0.001	1,518 	3961
JUSTA	0.001	1,518 	3560
JUSTIN	0.002	3,036 	2791
JUSTINA	0.008	12,145 	1037
JUSTINE	0.017	25,808 	668
JUTTA	0.002	3,036 	2390
KA	0.001	1,518 	3076
KACEY	0.003	4,554 	1893
KACI	0.003	4,554 	2107
KACIE	0.003	4,554 	2052
KACY	0.002	3,036 	2720
KAI	0.001	1,518 	3378
KAILA	0.001	1,518 	3075
KAITLIN	0.009	13,663 	968
KAITLYN	0.008	12,145 	1043
KALA	0.004	6,072 	1687
KALEIGH	0.001	1,518 	3712
KALEY	0.002	3,036 	2871
KALI	0.002	3,036 	2180
KALLIE	0.001	1,518 	4052
KALYN	0.001	1,518 	3801
KAM	0.002	3,036 	2944
KAMALA	0.001	1,518 	3559
KAMI	0.004	6,072 	1451
KAMILAH	0.001	1,518 	3558
KANDACE	0.003	4,554 	2033
KANDI	0.003	4,554 	1699
KANDICE	0.003	4,554 	1698
KANDIS	0.001	1,518 	3167
KANDRA	0.001	1,518 	3960
KANDY	0.003	4,554 	1847
KANESHA	0.001	1,518 	4147
KANISHA	0.001	1,518 	3638
KARA	0.041	62,242 	381
KARAN	0.003	4,554 	1993
KAREEN	0.001	1,518 	3499
KAREN	0.667	1,012,567 	13
KARENA	0.001	1,518 	3260
KAREY	0.002	3,036 	2456
KARI	0.036	54,651 	416
KARIE	0.003	4,554 	1747
KARIMA	0.001	1,518 	3879
KARIN	0.024	36,434 	546
KARINA	0.013	19,735 	780
KARINE	0.002	3,036 	2943
KARISA	0.001	1,518 	3711
KARISSA	0.004	6,072 	1577
KARL	0.002	3,036 	2870
KARLA	0.044	66,796 	370
KARLEEN	0.002	3,036 	2825
KARLENE	0.003	4,554 	1962
KARLY	0.001	1,518 	3259
KARLYN	0.001	1,518 	3878
KARMA	0.002	3,036 	2682
KARMEN	0.002	3,036 	2614
KAROL	0.005	7,590 	1342
KAROLE	0.001	1,518 	4238
KAROLINE	0.001	1,518 	3557
KAROLYN	0.004	6,072 	1626
KARON	0.005	7,590 	1278
KARREN	0.002	3,036 	2226
KARRI	0.003	4,554 	1774
KARRIE	0.007	10,627 	1144
KARRY	0.001	1,518 	4146
KARY	0.001	1,518 	3124
KARYL	0.002	3,036 	2942
KARYN	0.009	13,663 	921
KASANDRA	0.003	4,554 	2032
KASEY	0.011	16,699 	847
KASHA	0.001	1,518 	3877
KASI	0.001	1,518 	4051
KASIE	0.002	3,036 	2869
KASSANDRA	0.004	6,072 	1533
KASSIE	0.002	3,036 	2540
KATE	0.029	44,025 	464
KATELIN	0.001	1,518 	3498
KATELYN	0.01	15,181 	882
KATELYNN	0.001	1,518 	3377
KATERINE	0.001	1,518 	4050
KATHALEEN	0.002	3,036 	2295
KATHARINA	0.002	3,036 	2251
KATHARINE	0.017	25,808 	661
KATHARYN	0.001	1,518 	3710
KATHE	0.002	3,036 	2790
KATHELEEN	0.001	1,518 	3709
KATHERIN	0.002	3,036 	2418
KATHERINA	0.001	1,518 	4145
KATHERINE	0.313	475,162 	61
KATHERN	0.002	3,036 	2455
KATHERYN	0.009	13,663 	951
KATHEY	0.002	3,036 	2789
KATHI	0.008	12,145 	1026
KATHIE	0.011	16,699 	856
KATHLEEN	0.424	643,670 	36
KATHLENE	0.003	4,554 	1801
KATHLINE	0.001	1,518 	3876
KATHLYN	0.003	4,554 	1926
KATHRIN	0.001	1,518 	3215
KATHRINE	0.011	16,699 	828
KATHRYN	0.234	355,233 	82
KATHRYNE	0.003	4,554 	1961
KATHY	0.272	412,921 	71
KATHYRN	0.003	4,554 	2031
KATI	0.002	3,036 	2280
KATIA	0.002	3,036 	2906
KATIE	0.113	171,544 	193
KATINA	0.009	13,663 	947
KATLYN	0.002	3,036 	2613
KATRICE	0.002	3,036 	2868
KATRINA	0.061	92,604 	299
KATTIE	0.002	3,036 	2212
KATY	0.012	18,217 	817
KAY	0.071	107,784 	272
KAYCE	0.001	1,518 	3556
KAYCEE	0.001	1,518 	3800
KAYE	0.011	16,699 	837
KAYLA	0.051	77,423 	338
KAYLEE	0.003	4,554 	1800
KAYLEEN	0.002	3,036 	2612
KAYLEIGH	0.002	3,036 	2485
KAYLENE	0.002	3,036 	2364
KAZUKO	0.002	3,036 	2539
KECIA	0.003	4,554 	1960
KEELEY	0.001	1,518 	3959
KEELY	0.004	6,072 	1616
KEENA	0.002	3,036 	2905
KEESHA	0.002	3,036 	2211
KEIKO	0.003	4,554 	2076
KEILA	0.001	1,518 	3376
KEIRA	0.001	1,518 	4237
KEISHA	0.019	28,844 	625
KEITH	0.001	1,518 	3799
KEITHA	0.001	1,518 	3214
KELI	0.003	4,554 	2106
KELLE	0.002	3,036 	3032
KELLEE	0.002	3,036 	2510
KELLEY	0.031	47,061 	450
KELLI	0.046	69,832 	366
KELLIE	0.029	44,025 	467
KELLY	0.283	429,620 	67
KELLYE	0.002	3,036 	2509
KELSEY	0.024	36,434 	555
KELSI	0.001	1,518 	3321
KELSIE	0.003	4,554 	2097
KEMBERLY	0.001	1,518 	3637
KENA	0.002	3,036 	2904
KENDA	0.001	1,518 	3213
KENDAL	0.001	1,518 	3636
KENDALL	0.004	6,072 	1514
KENDRA	0.038	57,687 	403
KENIA	0.001	1,518 	3320
KENISHA	0.002	3,036 	2538
KENNA	0.003	4,554 	1925
KENNETH	0.002	3,036 	2584
KENYA	0.011	16,699 	824
KENYATTA	0.003	4,554 	1976
KENYETTA	0.002	3,036 	2225
KERA	0.001	1,518 	3635
KEREN	0.001	1,518 	3431
KERI	0.018	27,326 	629
KERRI	0.024	36,434 	538
KERRIE	0.006	9,109 	1231
KERRY	0.031	47,061 	452
KERSTIN	0.001	1,518 	3212
KESHA	0.005	7,590 	1428
KESHIA	0.005	7,590 	1444
KETURAH	0.001	1,518 	3497
KEVA	0.001	1,518 	4236
KEVIN	0.002	3,036 	2162
KHADIJAH	0.001	1,518 	4049
KHALILAH	0.001	1,518 	3958
KIA	0.005	7,590 	1427
KIANA	0.002	3,036 	2611
KIARA	0.003	4,554 	1885
KIERA	0.002	3,036 	2363
KIERSTEN	0.001	1,518 	3123
KIESHA	0.002	3,036 	2362
KILEY	0.002	3,036 	2333
KIM	0.178	270,220 	118
KIMBER	0.002	3,036 	2454
KIMBERELY	0.003	4,554 	1872
KIMBERLEE	0.008	12,145 	1031
KIMBERLEY	0.021	31,880 	592
KIMBERLI	0.002	3,036 	2138
KIMBERLIE	0.002	3,036 	2754
KIMBERLY	0.504	765,118 	24
KIMBERY	0.002	3,036 	2941
KIMBRA	0.001	1,518 	4144
KIMI	0.001	1,518 	3375
KIMIKO	0.002	3,036 	2983
KINA	0.001	1,518 	3708
KINDRA	0.002	3,036 	2389
KIRA	0.006	9,109 	1165
KIRBY	0.002	3,036 	2719
KIRSTEN	0.018	27,326 	632
KIRSTIE	0.001	1,518 	3875
KIRSTIN	0.003	4,554 	1892
KISHA	0.006	9,109 	1197
KIT	0.001	1,518 	3374
KITTIE	0.001	1,518 	3634
KITTY	0.008	12,145 	987
KIYOKO	0.001	1,518 	3496
KIZZIE	0.001	1,518 	3633
KIZZY	0.003	4,554 	2124
KLARA	0.001	1,518 	3166
KORI	0.004	6,072 	1670
KORTNEY	0.001	1,518 	3632
KOURTNEY	0.002	3,036 	2279
KRIS	0.011	16,699 	833
KRISHNA	0.001	1,518 	4235
KRISSY	0.001	1,518 	3258
KRISTA	0.04	60,724 	388
KRISTAL	0.006	9,109 	1245
KRISTAN	0.003	4,554 	1773
KRISTEEN	0.001	1,518 	3957
KRISTEL	0.002	3,036 	2788
KRISTEN	0.111	168,508 	194
KRISTI	0.055	83,495 	319
KRISTIAN	0.003	4,554 	2030
KRISTIE	0.027	40,988 	500
KRISTIN	0.099	150,291 	214
KRISTINA	0.065	98,676 	290
KRISTINE	0.051	77,423 	342
KRISTLE	0.001	1,518 	4234
KRISTY	0.048	72,868 	355
KRISTYN	0.003	4,554 	1913
KRYSTA	0.002	3,036 	2646
KRYSTAL	0.037	56,169 	413
KRYSTEN	0.001	1,518 	3319
KRYSTIN	0.001	1,518 	3631
KRYSTINA	0.001	1,518 	3318
KRYSTLE	0.007	10,627 	1060
KRYSTYNA	0.003	4,554 	1772
KUM	0.003	4,554 	2051
KYLA	0.005	7,590 	1361
KYLE	0.004	6,072 	1588
KYLEE	0.003	4,554 	1846
KYLIE	0.006	9,109 	1208
KYM	0.002	3,036 	2564
KYMBERLY	0.002	3,036 	2610
KYOKO	0.001	1,518 	3317
KYONG	0.004	6,072 	1541
KYRA	0.004	6,072 	1521
KYUNG	0.004	6,072 	1563
LACEY	0.018	27,326 	626
LACHELLE	0.001	1,518 	3165
LACI	0.003	4,554 	2011
LACIE	0.004	6,072 	1686
LACRESHA	0.001	1,518 	4233
LACY	0.009	13,663 	932
LADAWN	0.001	1,518 	3707
LADONNA	0.016	24,289 	687
LADY	0.002	3,036 	2508
LAEL	0.001	1,518 	3874
LAHOMA	0.001	1,518 	3706
LAI	0.003	4,554 	1952
LAILA	0.002	3,036 	2179
LAINE	0.001	1,518 	4048
LAJUANA	0.001	1,518 	3257
LAKEESHA	0.001	1,518 	3798
LAKEISHA	0.01	15,181 	868
LAKENDRA	0.001	1,518 	3630
LAKENYA	0.001	1,518 	3873
LAKESHA	0.008	12,145 	1048
LAKESHIA	0.004	6,072 	1551
LAKIA	0.001	1,518 	3316
LAKIESHA	0.001	1,518 	3122
LAKISHA	0.011	16,699 	820
LAKITA	0.001	1,518 	3495
LALA	0.001	1,518 	3164
LAMONICA	0.001	1,518 	4143
LAN	0.005	7,590 	1416
LANA	0.029	44,025 	470
LANE	0.002	3,036 	2645
LANELL	0.002	3,036 	2753
LANELLE	0.001	1,518 	3256
LANETTE	0.003	4,554 	1783
LANG	0.001	1,518 	3956
LANI	0.003	4,554 	1845
LANIE	0.001	1,518 	3430
LANITA	0.003	4,554 	2096
LANNIE	0.001	1,518 	3555
LANORA	0.001	1,518 	3494
LAQUANDA	0.001	1,518 	3163
LAQUITA	0.005	7,590 	1332
LARA	0.016	24,289 	695
LARAE	0.002	3,036 	2453
LARAINE	0.002	3,036 	2940
LAREE	0.001	1,518 	4232
LARHONDA	0.002	3,036 	2315
LARISA	0.002	3,036 	2250
LARISSA	0.006	9,109 	1177
LARITA	0.001	1,518 	3429
LARONDA	0.002	3,036 	2867
LARRAINE	0.001	1,518 	4231
LARRY	0.001	1,518 	3162
LARUE	0.003	4,554 	1760
LASANDRA	0.002	3,036 	3031
LASHANDA	0.004	6,072 	1576
LASHANDRA	0.001	1,518 	4142
LASHAUN	0.001	1,518 	3872
LASHAUNDA	0.001	1,518 	3797
LASHAWN	0.007	10,627 	1153
LASHAWNA	0.001	1,518 	4047
LASHAWNDA	0.001	1,518 	3315
LASHAY	0.001	1,518 	4230
LASHELL	0.001	1,518 	4141
LASHON	0.001	1,518 	3373
LASHONDA	0.008	12,145 	1014
LASHUNDA	0.002	3,036 	2332
LASONYA	0.001	1,518 	3211
LATANYA	0.008	12,145 	1028
LATARSHA	0.001	1,518 	3255
LATASHA	0.026	39,470 	508
LATASHIA	0.002	3,036 	3030
LATESHA	0.002	3,036 	2866
LATIA	0.002	3,036 	2644
LATICIA	0.002	3,036 	2314
LATINA	0.001	1,518 	3161
LATISHA	0.015	22,771 	715
LATONIA	0.005	7,590 	1415
LATONYA	0.022	33,398 	574
LATORIA	0.002	3,036 	2452
LATOSHA	0.004	6,072 	1471
LATOYA	0.043	65,278 	372
LATOYIA	0.001	1,518 	3210
LATRICE	0.007	10,627 	1087
LATRICIA	0.005	7,590 	1407
LATRINA	0.002	3,036 	2313
LATRISHA	0.001	1,518 	3121
LAUNA	0.002	3,036 	2903
LAURA	0.51	774,226 	22
LAURALEE	0.001	1,518 	3493
LAURAN	0.001	1,518 	4046
LAURE	0.002	3,036 	2718
LAUREEN	0.004	6,072 	1484
LAUREL	0.024	36,434 	550
LAUREN	0.137	207,978 	162
LAURENA	0.001	1,518 	4229
LAURENCE	0.001	1,518 	3629
LAURENE	0.003	4,554 	2010
LAURETTA	0.006	9,109 	1207
LAURETTE	0.004	6,072 	1662
LAURI	0.009	13,663 	956
LAURICE	0.002	3,036 	2865
LAURIE	0.114	173,062 	192
LAURINDA	0.001	1,518 	3372
LAURINE	0.002	3,036 	2563
LAURYN	0.001	1,518 	3120
LAVADA	0.003	4,554 	1937
LAVELLE	0.001	1,518 	3796
LAVENIA	0.001	1,518 	3371
LAVERA	0.002	3,036 	2787
LAVERN	0.005	7,590 	1310
LAVERNA	0.002	3,036 	2210
LAVERNE	0.03	45,543 	455
LAVETA	0.001	1,518 	3428
LAVETTE	0.001	1,518 	3119
LAVINA	0.004	6,072 	1562
LAVINIA	0.003	4,554 	2050
LAVON	0.004	6,072 	1556
LAVONA	0.001	1,518 	3314
LAVONDA	0.003	4,554 	1799
LAVONE	0.001	1,518 	4140
LAVONIA	0.002	3,036 	2786
LAVONNA	0.001	1,518 	3160
LAVONNE	0.011	16,699 	831
LAWANA	0.002	3,036 	2388
LAWANDA	0.011	16,699 	852
LAWANNA	0.002	3,036 	2902
LAWRENCE	0.001	1,518 	3492
LAYLA	0.002	3,036 	2609
LAYNE	0.001	1,518 	3871
LE	0.002	3,036 	2681
LEA	0.017	25,808 	665
LEAH	0.072	109,303 	270
LEAN	0.001	1,518 	3628
LEANA	0.002	3,036 	2331
LEANDRA	0.003	4,554 	1844
LEANN	0.015	22,771 	719
LEANNA	0.009	13,663 	914
LEANNE	0.016	24,289 	682
LEANORA	0.001	1,518 	3955
LEATHA	0.003	4,554 	1771
LEATRICE	0.004	6,072 	1550
LECIA	0.001	1,518 	4045
LEDA	0.003	4,554 	1951
LEE	0.051	77,423 	341
LEEANN	0.008	12,145 	1022
LEEANNA	0.002	3,036 	2785
LEEANNE	0.002	3,036 	2562
LEENA	0.001	1,518 	3427
LEESA	0.003	4,554 	1924
LEIA	0.001	1,518 	3491
LEIDA	0.001	1,518 	4044
